symbol,quantity,avg_price,market
PAMP,10,5415.00,ARG
BYMA,50,298.50,ARG
AMZN,104,2442.00,US
VENIR,1755,75.20,ARG
CEPU,122,2347.00,ARG
BA37D,4,104000.00,ARG
NU,28,13190.00,US
EDN,34,2595.00,ARG
TGNO4,59,4515.00,ARG
BPOC7,53,143500.00,ARG
LOMA,11,3750.00,ARG
TGSU2,26,9290.00,ARG
YPFD,2,56050.00,ARG
GD35,3,111000.00,ARG
TRAN,251,3480.00,ARG
METR,58,2505.00,ARG
GOOGL,53,8450.00,US
T15D5,12000,169.08,ARG
TTM26,55532,136.80,ARG
TSLA,1,43100.00,US
NVDA,2,11570.00,US
KO,10,22210.00,US
TX26,56,1114.00,ARG
ECOG,6,3350.00,ARG
TSM,1,49980.00,US
